dept_id,department_name,division_or_board,official_name_or_post,official_phone,official_email,it_security_email,authorized_role,status
RAIL-001,Indian Railways,Northern Railway (Delhi Division),Senior Divisional Commercial Manager (Sr DCM),+91-9871301234,srdcm.delhi@nr.railnet.gov.in,ciso@cris.org.in,Freight Billing & Ticketing Vigilance,ACTIVE
RAIL-002,Indian Railways (CRIS / IRCTC),Centre for Railway Information Systems,Chief Information Security Officer,+91-9868112345,security.desk@irctc.co.in,soc-alert@cris.org.in,IRCTC Payment Gateway Infrastructure,ACTIVE
RAIL-003,Indian Railways,Railway Board Rail Bhawan,Director (Public Relations & Media),+91-9810145678,dirpr@rb.railnet.gov.in,infosec@railnet.gov.in,Official Passenger Advisories,ACTIVE
ELEC-001,Tata Power Delhi Distribution Ltd (TPDDL),Revenue Management & Smart Metering,Executive Engineer (Billing Operations),+91-9810054321,billing.ops@tatapower-ddl.com,ciso-alerts@tatapower-ddl.com,Electricity Meter Disconnection Notices,ACTIVE
ELEC-002,BSES Rajdhani Power Ltd (BRPL),Anti-Power Theft & Enforcement,Assistant General Manager (Vigilance),+91-9871198765,enforcement@bsesdelhi.com,infosec@bsesdelhi.com,Electricity Arrears & Dues Notices,ACTIVE
ELEC-003,Maharashtra State Electricity Distribution Co (MSEDCL),Mumbai Metropolitan Circle,Superintending Engineer (Revenue Recovery),+91-9969012345,se.billing@mahadiscom.in,cybercell@mahadiscom.in,Consumer Supply & Billing Dispatches,ACTIVE
ELEC-004,Uttar Pradesh Power Corporation Ltd (UPPCL),Lucknow Central Zone,Executive Officer (Power Dues & Recovery),+91-9450098765,recovery.hq@uppcl.org,cert-it@uppcl.org,Substation Billing & Disconnection Alerts,ACTIVE
ELEC-005,Bangalore Electricity Supply Co (BESCOM),Bangalore South Division,Executive Engineer (Consumer Grievances),+91-9449861234,ee.south@bescom.karnataka.gov.in,it-security@bescom.karnataka.gov.in,Power Outage & Arrears Communication,ACTIVE
MHA-001,Ministry of Home Affairs (MHA),Indian Cybercrime Coordination Centre (I4C),National Cyber Crime Reporting Desk (1930),+91-9818819300,helpline-desk@cybercrime.gov.in,cert@mha.gov.in,National Cyber Crime Emergency Coordination,ACTIVE
POL-001,Delhi Police Special Cell (IFSO),Intelligence Fusion & Strategic Operations,Inspector (Cyber Forensics & Incident Response),+91-9818099887,ifso-delhi@delhipolice.gov.in,ciso@delhipolice.gov.in,Cyber Crime Investigation & Summons,ACTIVE
POL-002,Maharashtra Cyber Police Headquarters,State Cyber Operations Centre (SCOC),Deputy Commissioner of Police (Operations),+91-9820011223,mahacyber@mahapolice.gov.in,cert.mh@gov.in,Statewide Threat Advisory & FIR Dispatch,ACTIVE
POL-003,Karnataka State Police (CID Cyber Crime),Cyber Crime Police Station (CCPS) Bengaluru,Deputy Superintendent of Police (Cyber),+91-9480801234,cybercrime.cid@ksp.gov.in,soc@ksp.gov.in,Cyber Crime Summon & Notice Delivery,ACTIVE
TAX-001,Income Tax Department (CBDT),Centralized Processing Centre (CPC) Bengaluru,Assessing Officer (Refund Disbursal Unit),+91-9868234567,refund.unit@incometax.gov.in,ciso.directorate@incometax.gov.in,ITR Refund Claims & Scrutiny Communications,ACTIVE
DOT-001,Department of Telecommunications (DoT),Telecom Enforcement Resource & Monitoring (TERM),Director (TAFCOP & Vigilance),+91-9868554433,term-delhi@dot.gov.in,security-dot@nic.in,SIM KYC Verification & Sanchar Saathi Notices,ACTIVE
POST-001,Department of Posts (India Post),Postal Operations & Parcel Logistics,Senior Superintendent of Post Offices (Speed Post),+91-9868899001,speedpost.desk@indiapost.gov.in,infosec@indiapost.gov.in,Customs Duty & Parcel Delivery Tracking,ACTIVE
EPFO-001,Employees' Provident Fund Organisation (EPFO),EPFO Head Office New Delhi,Regional P.F. Commissioner (Member Accounts),+91-9818765432,member.accounts@epfindia.gov.in,ciso@epfindia.gov.in,PF Withdrawal & KYC Update Notifications,ACTIVE
